0,1,2,3,4,5,label
-53,-62,-38,-66,-65,-69,0
-55,-61,-41,-66,-72,-68,0
-58,-56,-40,-73,-69,-73,0
-55,-56,-41,-70,-74,-73,0
-55,-53,-37,-72,-71,-73,0
-54,-56,-45,-56,-72,-68,0
-52,-54,-38,-64,-73,-77,0
-59,-57,-38,-69,-68,-73,0
-61,-61,-37,-71,-68,-73,0
-56,-56,-38,-68,-70,-66,0
-59,-57,-43,-73,-65,-66,0
-54,-61,-43,-75,-64,-74,0
-57,-61,-43,-73,-67,-66,0
-56,-58,-42,-67,-62,-71,0
-56,-54,-41,-76,-65,-68,0
-55,-55,-39,-69,-67,-71,0
-56,-56,-38,-72,-67,-70,0
-56,-60,-39,-72,-74,-66,0
-52,-60,-37,-66,-67,-73,0
-55,-63,-37,-64,-67,-76,0
-59,-57,-43,-74,-65,-66,0
-57,-61,-38,-69,-73,-70,0
-62,-58,-37,-69,-73,-72,0
-58,-61,-38,-67,-71,-71,0
-55,-55,-38,-71,-71,-70,0
-58,-59,-41,-65,-68,-74,0
-55,-57,-37,-67,-71,-71,0
-59,-67,-35,-65,-66,-74,0
-63,-62,-38,-72,-71,-73,0
-58,-60,-38,-74,-74,-73,0
-66,-61,-37,-68,-75,-77,0
-70,-58,-14,-73,-71,-80,0
-62,-56,-13,-74,-72,-77,0
-62,-56,-15,-71,-70,-79,0
-62,-59,-14,-73,-71,-78,0
-63,-60,-14,-72,-72,-77,0
-61,-60,-15,-72,-69,-79,0
-74,-60,-15,-73,-71,-80,0
-59,-60,-35,-69,-81,-78,0
-60,-62,-14,-71,-77,-71,0
-58,-58,-13,-68,-76,-90,0
-61,-62,-16,-76,-74,-74,0
-57,-60,-20,-71,-74,-74,0
-56,-58,-37,-64,-76,-72,0
-57,-61,-38,-63,-79,-71,0
-60,-57,-38,-65,-79,-76,0
-55,-54,-42,-63,-78,-71,0
-58,-53,-40,-63,-77,-70,0
-61,-54,-37,-66,-74,-75,0
-57,-51,-40,-66,-78,-71,0
-53,-49,-38,-71,-69,-75,0
-53,-50,-47,-66,-80,-69,0
-55,-52,-49,-59,-78,-71,0
-58,-53,-38,-65,-79,-72,0
-58,-59,-42,-66,-81,-75,0
-59,-53,-40,-69,-80,-78,0
-58,-59,-40,-71,-78,-76,0
-55,-57,-38,-71,-71,-76,0
-56,-50,-43,-68,-76,-77,0
-58,-58,-42,-64,-79,-80,0
-56,-55,-41,-62,-69,-75,0
-53,-53,-43,-78,-69,-75,0
-58,-55,-38,-68,-76,-75,0
-56,-53,-50,-71,-79,-78,0
-58,-56,-41,-69,-79,-78,0
-57,-58,-45,-77,-78,-80,0
-58,-57,-45,-73,-86,-92,0
-58,-60,-42,-66,-82,-79,0
-58,-58,-40,-70,-86,-80,0
-53,-56,-42,-69,-74,-78,0
-60,-55,-46,-71,-76,-79,0
-59,-54,-41,-58,-80,-80,0
-59,-54,-39,-63,-79,-87,0
-54,-53,-45,-68,-78,-81,0
-56,-54,-39,-67,-78,-82,0
-58,-56,-43,-67,-78,-82,0
-57,-55,-43,-65,-71,-76,0
-56,-54,-48,-61,-78,-67,0
-54,-50,-42,-60,-71,-67,0
-56,-53,-47,-61,-72,-83,0
-56,-55,-39,-68,-74,-73,0
-50,-71,-39,-68,-78,-74,0
-57,-60,-39,-68,-73,-74,0
-50,-53,-42,-65,-72,-71,0
-50,-49,-51,-65,-75,-80,0
-52,-56,-44,-65,-71,-75,0
-51,-54,-45,-67,-72,-76,0
-55,-47,-47,-64,-75,-79,0
-56,-53,-40,-69,-75,-72,0
-58,-50,-45,-71,-68,-74,0
-53,-50,-40,-60,-69,-74,0
-58,-59,-37,-66,-74,-67,0
-63,-61,-43,-64,-76,-76,0
-56,-58,-39,-66,-70,-72,0
-63,-61,-35,-70,-73,-71,0
-57,-55,-37,-67,-70,-73,0
-58,-59,-40,-75,-75,-73,0
-59,-55,-37,-73,-72,-66,0
-56,-55,-37,-61,-79,-72,0
-54,-55,-40,-61,-79,-73,0
-60,-56,-36,-63,-70,-75,0
-60,-59,-37,-65,-74,-73,0
-60,-59,-17,-68,-75,-75,0
-63,-66,-20,-79,-73,-72,0
-59,-64,-16,-79,-76,-72,0
-63,-65,-16,-74,-73,-74,0
-60,-63,-18,-70,-73,-73,0
-60,-68,-15,-74,-73,-70,0
-64,-63,-18,-69,-72,-74,0
-63,-65,-27,-86,-72,-74,0
-59,-56,-38,-62,-75,-79,0
-58,-66,-41,-73,-71,-79,0
-54,-55,-37,-71,-64,-67,0
-56,-55,-39,-75,-71,-75,0
-62,-57,-41,-77,-65,-68,0
-57,-64,-42,-74,-69,-70,0
-59,-63,-40,-74,-66,-64,0
-58,-63,-39,-80,-71,-72,0
-58,-63,-45,-80,-76,-65,0
-57,-64,-40,-75,-69,-64,0
-58,-63,-41,-75,-69,-67,0
-57,-62,-41,-75,-65,-68,0
-58,-62,-40,-73,-70,-67,0
-59,-65,-47,-75,-68,-66,0
-63,-67,-40,-75,-70,-70,0
-56,-57,-35,-84,-70,-66,0
-60,-57,-37,-68,-66,-77,0
-59,-57,-19,-70,-69,-75,0
-59,-63,-15,-70,-76,-85,0
-57,-54,-35,-64,-78,-76,0
-54,-55,-37,-61,-77,-79,0
-56,-52,-36,-75,-68,-81,0
-51,-64,-38,-71,-78,-78,0
-53,-53,-38,-63,-76,-73,0
-56,-56,-38,-66,-77,-74,0
-59,-53,-40,-62,-72,-76,0
-59,-57,-51,-62,-72,-76,0
-62,-59,-43,-78,-79,-81,0
-61,-58,-44,-75,-80,-89,0
-54,-60,-43,-74,-76,-77,0
-56,-58,-42,-77,-76,-78,0
-57,-59,-45,-77,-75,-81,0
-58,-57,-42,-76,-74,-80,0
-58,-58,-44,-71,-77,-79,0
-55,-58,-43,-73,-75,-80,0
-56,-63,-45,-71,-76,-78,0
-57,-58,-44,-82,-75,-78,0
-55,-59,-41,-82,-75,-78,0
-63,-58,-44,-74,-79,-78,0
-56,-60,-46,-81,-79,-75,0
-57,-61,-50,-74,-83,-79,0
-57,-57,-50,-70,-77,-80,0
-55,-57,-48,-80,-81,-76,0
-56,-60,-47,-72,-80,-79,0
-57,-60,-44,-71,-85,-77,0
-56,-59,-49,-74,-82,-80,0
-63,-55,-42,-71,-81,-79,0
-63,-67,-46,-63,-81,-78,0
-59,-67,-50,-68,-79,-78,0
-63,-64,-50,-64,-75,-78,0
-60,-65,-48,-64,-79,-75,0
-58,-65,-46,-71,-77,-73,0
-61,-63,-44,-74,-76,-75,0
-62,-66,-43,-73,-77,-76,0
-60,-65,-51,-72,-74,-78,0
-59,-63,-42,-72,-79,-80,0
-60,-68,-46,-72,-83,-79,0
-58,-60,-49,-72,-74,-80,0
-54,-55,-38,-72,-76,-79,0
-55,-57,-37,-64,-68,-73,0
-56,-55,-38,-71,-75,-78,0
-55,-66,-39,-75,-73,-78,0
-56,-53,-42,-65,-72,-70,0
-59,-57,-39,-67,-81,-74,0
-56,-53,-49,-70,-80,-75,0
-60,-56,-44,-74,-76,-80,0
-54,-54,-45,-73,-71,-79,0
-57,-53,-46,-67,-78,-79,0
-55,-55,-44,-68,-76,-79,0
-59,-57,-42,-75,-78,-74,0
-57,-59,-44,-65,-76,-77,0
-57,-51,-41,-69,-77,-75,0
-58,-55,-46,-69,-75,-73,0
-56,-58,-50,-64,-75,-73,0
-58,-57,-37,-73,-75,-71,0
-58,-55,-38,-61,-74,-79,0
-55,-57,-41,-66,-73,-69,0
-53,-53,-38,-66,-70,-69,0
-50,-52,-48,-68,-73,-71,0
-53,-51,-37,-66,-71,-75,0
-56,-53,-28,-71,-67,-72,0
-51,-53,-37,-67,-67,-68,0
-56,-57,-39,-61,-72,-74,0
-56,-53,-43,-63,-72,-77,0
-59,-54,-39,-72,-75,-70,0
-60,-53,-39,-65,-70,-68,0
-58,-54,-38,-67,-72,-71,0
-60,-52,-38,-65,-70,-70,0
-60,-53,-37,-64,-68,-67,0
-57,-55,-38,-62,-67,-65,0
-56,-56,-37,-62,-67,-67,0
-59,-55,-38,-65,-67,-68,0
-60,-53,-38,-65,-67,-70,0
-61,-55,-40,-63,-70,-67,0
-58,-56,-38,-63,-75,-74,0
-59,-52,-44,-69,-68,-76,0
-58,-56,-38,-65,-67,-76,0
-58,-65,-38,-65,-66,-70,0
-58,-52,-41,-66,-63,-75,0
-52,-59,-48,-67,-64,-75,0
-55,-55,-47,-80,-66,-63,0
-55,-57,-42,-63,-65,-64,0
-53,-51,-42,-73,-71,-66,0
-53,-50,-44,-71,-68,-64,0
-54,-51,-47,-64,-70,-65,0
-55,-49,-45,-64,-70,-65,0
-54,-50,-45,-63,-68,-64,0
-53,-49,-44,-74,-70,-65,0
-54,-49,-43,-62,-70,-65,0
-53,-50,-40,-62,-69,-65,0
-54,-49,-41,-63,-69,-64,0
-52,-51,-45,-64,-70,-65,0
-53,-51,-40,-64,-67,-64,0
-52,-50,-41,-64,-69,-66,0
-55,-49,-40,-61,-69,-66,0
-53,-49,-41,-71,-66,-65,0
-52,-49,-41,-62,-69,-65,0
-53,-53,-40,-64,-64,-73,0
-54,-52,-40,-61,-73,-71,0
-58,-48,-40,-62,-72,-76,0
-55,-58,-43,-60,-71,-72,0
-55,-52,-43,-60,-76,-72,0
-55,-54,-40,-62,-71,-72,0
-53,-51,-43,-70,-72,-70,0
-52,-57,-41,-63,-73,-68,0
-52,-55,-40,-62,-76,-64,0
-60,-53,-35,-72,-71,-64,0
-55,-55,-42,-69,-66,-69,0
-56,-55,-36,-69,-67,-78,0
-54,-55,-42,-63,-71,-78,0
-51,-54,-43,-60,-69,-70,0
-55,-53,-46,-63,-68,-71,0
-54,-53,-42,-69,-72,-66,0
-51,-67,-40,-63,-74,-68,0
-56,-53,-43,-63,-65,-70,0
-53,-55,-47,-61,-66,-71,0
-53,-57,-46,-64,-65,-70,0
-54,-59,-46,-62,-66,-70,0
-53,-58,-44,-63,-68,-71,0
-53,-57,-40,-66,-70,-69,0
-56,-57,-46,-68,-68,-70,0
-50,-56,-39,-67,-69,-70,0
-49,-57,-42,-62,-64,-71,0
-54,-53,-46,-63,-66,-76,0
-59,-57,-42,-66,-71,-70,0
-58,-60,-37,-75,-65,-67,0
-54,-57,-42,-64,-67,-71,0
-58,-58,-41,-75,-70,-64,0
-57,-63,-40,-73,-66,-65,0
-56,-55,-45,-64,-61,-69,0
-58,-54,-42,-71,-65,-71,0
-55,-56,-36,-64,-65,-66,0
-57,-58,-38,-64,-74,-79,0
-51,-57,-36,-64,-65,-71,0
-57,-59,-36,-63,-74,-75,0
-57,-53,-34,-64,-76,-76,0
-57,-59,-38,-66,-72,-71,0
-58,-56,-15,-74,-76,-71,0
-54,-57,-15,-69,-82,-71,0
-57,-57,-36,-73,-82,-72,0
-55,-57,-34,-67,-71,-72,0
-55,-58,-36,-67,-72,-74,0
-55,-57,-16,-71,-72,-74,0
-55,-56,-15,-64,-78,-76,0
-53,-57,-17,-70,-77,-73,0
-55,-58,-15,-65,-73,-72,0
-54,-61,-34,-70,-72,-73,0
-55,-52,-14,-71,-69,-82,0
-50,-57,-36,-62,-66,-71,0
-60,-56,-18,-65,-68,-72,0
-57,-63,-16,-72,-73,-66,0
-57,-63,-34,-72,-65,-75,0
-56,-58,-45,-65,-67,-72,0
-58,-50,-35,-62,-72,-67,0
-51,-56,-36,-62,-72,-71,0
-55,-51,-43,-64,-73,-73,0
-55,-51,-41,-72,-70,-73,0
-55,-54,-42,-58,-71,-72,0
-57,-57,-43,-68,-89,-72,0
-56,-53,-46,-57,-73,-77,0
-57,-52,-40,-66,-75,-75,0
-55,-57,-37,-71,-79,-77,0
-54,-53,-48,-71,-78,-73,0
-57,-51,-46,-65,-75,-79,0
-56,-55,-46,-65,-86,-79,0
-59,-54,-51,-69,-77,-85,0
-58,-56,-43,-70,-72,-80,0
-54,-56,-40,-70,-77,-78,0
-58,-60,-47,-70,-82,-74,0
-54,-54,-45,-71,-76,-74,0
-55,-56,-43,-73,-76,-75,0
-60,-54,-43,-73,-80,-74,0
-54,-55,-49,-67,-80,-74,0
-55,-57,-50,-66,-75,-73,0
-55,-57,-44,-69,-73,-77,0
-55,-54,-43,-71,-89,-77,0
-55,-54,-45,-62,-76,-73,0
-58,-55,-45,-62,-79,-85,0
-59,-55,-49,-69,-74,-84,0
-57,-55,-48,-67,-77,-84,0
-59,-54,-52,-67,-77,-83,0
-55,-54,-47,-67,-77,-79,0
-53,-56,-48,-66,-69,-72,0
-52,-57,-36,-71,-66,-75,0
-52,-54,-35,-65,-69,-73,0
-50,-50,-36,-58,-69,-75,0
-57,-50,-38,-60,-74,-69,0
-55,-54,-48,-76,-73,-80,0
-54,-55,-53,-66,-73,-80,0
-54,-58,-41,-63,-75,-78,0
-55,-53,-36,-60,-77,-77,0
-56,-56,-35,-69,-73,-69,0
-59,-59,-39,-73,-71,-72,0
-58,-59,-36,-69,-71,-77,0
-58,-57,-40,-74,-79,-77,0
-51,-54,-41,-67,-72,-77,0
-55,-53,-37,-64,-79,-76,0
-54,-49,-41,-68,-71,-77,0
-53,-51,-39,-68,-76,-72,0
-48,-51,-37,-70,-78,-69,0
-53,-59,-36,-75,-73,-69,0
-56,-52,-36,-72,-69,-67,0
-55,-55,-36,-60,-73,-72,0
-54,-56,-34,-61,-71,-74,0
-54,-54,-35,-59,-73,-70,0
-54,-54,-36,-62,-71,-70,0
-57,-55,-35,-59,-71,-69,0
-58,-52,-26,-61,-70,-70,0
-61,-52,-27,-61,-67,-69,0
-56,-57,-34,-60,-73,-80,0
-61,-61,-36,-60,-73,-76,0
-59,-57,-27,-61,-71,-76,0
-60,-54,-35,-61,-81,-80,0
-60,-53,-36,-63,-70,-77,0
-62,-57,-36,-61,-71,-71,0
-59,-57,-35,-61,-65,-80,0
-59,-57,-36,-64,-66,-70,0
-59,-55,-36,-65,-66,-70,0
-59,-55,-40,-65,-66,-69,0
-55,-56,-37,-66,-65,-69,0
-55,-55,-36,-62,-70,-71,0
-58,-55,-36,-62,-70,-73,0
-58,-53,-43,-61,-70,-70,0
-56,-58,-36,-80,-72,-70,0
-60,-57,-37,-80,-72,-72,0
-56,-62,-36,-80,-71,-69,0
-53,-62,-35,-68,-70,-69,0
-61,-57,-27,-71,-73,-70,0
-54,-57,-21,-77,-72,-72,0
-54,-54,-11,-70,-75,-74,0
-56,-54,-36,-66,-73,-77,0
-53,-60,-17,-71,-74,-71,0
-54,-56,-16,-61,-64,-79,0
-55,-65,-34,-66,-70,-74,0
-54,-57,-34,-60,-69,-75,0
-57,-54,-38,-56,-70,-72,0
-57,-53,-37,-67,-72,-69,0
-57,-55,-15,-62,-68,-70,0
-56,-57,-35,-71,-69,-74,0
-63,-65,-18,-70,-72,-73,0
-58,-54,-18,-70,-72,-73,0
-55,-57,-16,-70,-76,-75,0
-56,-58,-16,-70,-75,-79,0
-58,-62,-20,-73,-76,-74,0
-55,-55,-21,-70,-73,-77,0
-55,-50,-41,-66,-72,-69,0
-52,-55,-38,-62,-66,-85,0
-54,-52,-36,-63,-65,-70,0
-52,-53,-36,-61,-67,-70,0
-53,-55,-37,-71,-75,-74,0
-54,-52,-38,-60,-69,-75,0
-54,-51,-37,-66,-74,-76,0
-58,-55,-38,-60,-74,-76,0
-53,-56,-36,-62,-75,-77,0
-56,-59,-37,-64,-74,-77,0
-55,-59,-37,-63,-70,-73,0
-53,-60,-36,-58,-73,-77,0
-53,-56,-37,-59,-75,-83,0
-52,-56,-47,-63,-71,-75,0
-53,-54,-43,-70,-77,-75,0
-54,-56,-40,-67,-70,-71,0
-55,-53,-35,-64,-70,-82,0
-54,-52,-39,-65,-70,-74,0
-52,-55,-35,-61,-75,-76,0
-53,-53,-42,-63,-72,-72,0
-56,-53,-44,-69,-77,-79,0
-58,-54,-39,-62,-71,-77,0
-54,-54,-41,-64,-72,-78,0
-52,-50,-39,-61,-75,-71,0
-56,-50,-43,-66,-77,-76,0
-54,-59,-41,-60,-76,-74,0
-54,-54,-43,-59,-74,-72,0
-57,-55,-42,-61,-74,-75,0
-54,-56,-39,-63,-76,-78,0
-56,-48,-39,-63,-70,-73,0
-51,-50,-43,-63,-71,-66,0
-50,-50,-37,-64,-71,-78,0
-55,-56,-37,-67,-70,-66,0
-54,-55,-36,-60,-71,-75,0
-53,-62,-27,-63,-72,-79,0
-51,-52,-37,-70,-71,-64,0
-55,-54,-36,-67,-65,-73,0
-60,-57,-39,-70,-70,-74,0
-50,-58,-41,-74,-74,-69,0
-58,-53,-43,-76,-66,-69,0
-56,-52,-41,-76,-71,-66,0
-56,-56,-37,-59,-66,-75,0
-55,-54,-40,-71,-71,-71,0
-53,-60,-37,-69,-72,-69,0
-53,-54,-37,-67,-79,-72,0
-57,-58,-36,-62,-74,-73,0
-55,-53,-35,-64,-72,-66,0
-53,-56,-35,-74,-76,-79,0
-57,-55,-40,-75,-71,-64,0
-58,-54,-36,-69,-69,-73,0
-57,-56,-37,-69,-77,-72,0
-58,-56,-39,-62,-67,-73,0
-60,-54,-35,-69,-69,-78,0
-62,-54,-22,-65,-70,-72,0
-53,-52,-19,-65,-75,-69,0
-55,-62,-25,-71,-67,-68,0
-56,-57,-35,-68,-77,-72,0
-59,-60,-27,-70,-74,-71,0
-53,-56,-18,-70,-76,-75,0
-54,-56,-35,-61,-70,-79,0
-52,-59,-38,-64,-72,-74,0
-55,-56,-42,-66,-72,-75,0
-54,-53,-36,-66,-73,-75,0
-53,-50,-37,-70,-72,-72,0
-50,-49,-42,-69,-73,-77,0
-53,-52,-40,-63,-73,-77,0
-54,-52,-37,-68,-73,-77,0
-51,-51,-36,-67,-73,-76,0
-53,-51,-37,-78,-73,-77,0
-53,-51,-36,-78,-72,-76,0
-52,-51,-36,-78,-72,-77,0
-53,-52,-36,-70,-72,-76,0
-54,-52,-35,-68,-71,-76,0
-59,-49,-37,-68,-70,-72,0
-52,-56,-36,-64,-68,-69,0
-55,-56,-36,-64,-70,-66,0
-56,-48,-39,-71,-72,-71,0
-57,-51,-39,-71,-71,-72,0
-58,-49,-41,-75,-71,-70,0
-57,-47,-42,-64,-74,-71,0
-58,-47,-41,-65,-73,-70,0
-70,-47,-43,-69,-73,-84,0
-57,-47,-42,-69,-73,-70,0
-52,-50,-41,-69,-68,-72,0
-54,-53,-36,-65,-76,-72,0
-54,-54,-37,-66,-75,-71,0
-58,-54,-27,-67,-73,-78,0
-54,-52,-20,-66,-70,-74,0
-57,-51,-39,-70,-76,-72,0
-51,-53,-37,-63,-72,-76,0
-51,-53,-38,-63,-72,-73,0
-54,-55,-37,-67,-71,-70,0
-52,-55,-36,-69,-64,-70,0
-54,-47,-36,-63,-70,-70,0
-52,-46,-39,-74,-71,-78,0
-50,-57,-45,-61,-72,-67,0
-52,-53,-39,-61,-75,-73,0
-55,-50,-39,-61,-69,-73,0
-55,-52,-42,-60,-74,-67,0
-54,-55,-41,-68,-71,-74,0
-47,-50,-45,-65,-66,-69,0
-46,-51,-39,-63,-69,-69,0
-55,-51,-37,-75,-71,-70,0
-59,-61,-36,-68,-69,-73,0
-55,-58,-37,-76,-72,-69,0
-53,-57,-38,-71,-68,-64,0
-60,-52,-37,-71,-66,-75,0
-54,-56,-42,-68,-76,-75,0
-57,-50,-35,-63,-70,-79,0
-48,-51,-38,-63,-69,-89,0
-52,-62,-37,-69,-73,-71,0
-52,-56,-43,-64,-76,-74,0
-54,-55,-37,-64,-70,-70,0
-57,-52,-40,-58,-72,-70,0
-54,-53,-36,-61,-77,-74,0
-55,-55,-40,-73,-72,-74,0
-58,-62,-41,-64,-76,-73,0
-54,-59,-40,-68,-76,-74,0
-52,-59,-43,-71,-74,-79,0
-57,-59,-43,-71,-74,-79,0
-60,-56,-48,-85,-85,-81,0
-56,-55,-47,-63,-86,-77,0
-57,-56,-49,-64,-87,-76,0
-57,-55,-44,-65,-86,-77,0
-58,-54,-46,-69,-87,-77,0
-54,-50,-49,-61,-81,-84,1
-53,-54,-50,-63,-79,-77,1
-56,-54,-50,-71,-79,-77,1
-57,-52,-51,-60,-89,-83,1
-52,-54,-47,-61,-80,-86,1
-56,-53,-53,-61,-87,-77,1
-56,-58,-48,-59,-87,-92,1
-51,-59,-53,-62,-82,-85,1
-56,-57,-55,-66,-82,-85,1
-53,-55,-46,-59,-81,-93,1
-52,-58,-46,-57,-77,-77,1
-49,-53,-47,-57,-80,-77,1
-49,-54,-48,-62,-79,-75,1
-51,-47,-51,-71,-79,-75,1
-50,-49,-54,-71,-83,-82,1
-54,-50,-50,-60,-84,-85,1
-56,-50,-45,-61,-80,-80,1
-49,-53,-48,-63,-84,-88,1
-50,-55,-50,-66,-78,-75,1
-55,-55,-53,-66,-79,-86,1
-58,-54,-49,-62,-81,-88,1
-56,-54,-49,-63,-81,-82,1
-54,-55,-47,-66,-78,-86,1
-53,-49,-49,-66,-76,-80,1
-54,-48,-49,-65,-78,-81,1
-53,-55,-49,-63,-78,-81,1
-54,-53,-48,-64,-78,-79,1
-54,-54,-48,-63,-78,-82,1
-53,-55,-50,-63,-83,-82,1
-55,-54,-47,-63,-78,-80,1
-53,-54,-46,-63,-79,-82,1
-52,-54,-47,-64,-79,-81,1
-60,-54,-48,-63,-80,-83,1
-54,-53,-47,-63,-85,-80,1
-55,-55,-49,-67,-85,-80,1
-58,-55,-49,-64,-78,-84,1
-60,-56,-47,-66,-83,-85,1
-52,-61,-52,-61,-82,-88,1
-55,-58,-49,-67,-83,-88,1
-52,-52,-56,-68,-81,-84,1
-51,-58,-45,-65,-83,-84,1
-60,-59,-40,-60,-81,-81,1
-56,-56,-41,-63,-77,-80,1
-57,-54,-50,-66,-83,-78,1
-53,-51,-53,-67,-81,-83,1
-53,-51,-50,-66,-79,-86,1
-55,-54,-50,-72,-80,-88,1
-52,-56,-48,-55,-81,-82,1
-54,-59,-54,-62,-81,-82,1
-51,-52,-48,-60,-78,-86,1
-52,-57,-54,-59,-85,-88,1
-55,-52,-50,-58,-78,-86,1
-56,-51,-58,-58,-80,-86,1
-51,-52,-57,-56,-81,-77,1
-54,-50,-54,-59,-81,-77,1
