0,1,2,3,4,5,label
-58,-60,-38,-74,-74,-73,0
-57,-55,-43,-65,-71,-76,0
-58,-58,-13,-68,-76,-90,0
-53,-50,-47,-66,-80,-69,0
-50,-49,-51,-65,-75,-80,0
-66,-57,-52,-70,-84,-84,1
-60,-53,-36,-63,-70,-77,0
-62,-59,-14,-73,-71,-78,0
-54,-54,-37,-66,-75,-71,0
-59,-57,-42,-75,-78,-74,0
-59,-63,-40,-74,-66,-64,0
-54,-54,-41,-64,-72,-78,0
-59,-57,-43,-73,-65,-66,0
-54,-52,-37,-68,-73,-77,0
-53,-52,-40,-63,-73,-77,0
-56,-58,-45,-65,-67,-72,0
-58,-54,-46,-69,-87,-77,0
-55,-57,-37,-71,-79,-77,0
-57,-64,-40,-75,-69,-64,0
-56,-57,-46,-68,-68,-70,0
-59,-52,-44,-69,-68,-76,0
-55,-59,-37,-63,-70,-73,0
-54,-51,-37,-66,-74,-76,0
-52,-49,-41,-62,-69,-65,0
-58,-55,-38,-68,-76,-75,0
-59,-54,-51,-69,-77,-85,0
-55,-51,-37,-75,-71,-70,0
-51,-54,-45,-67,-72,-76,0
-63,-65,-27,-86,-72,-74,0
-60,-54,-43,-73,-80,-74,0
-59,-55,-37,-73,-72,-66,0
-51,-53,-37,-67,-67,-68,0
-52,-55,-38,-62,-66,-85,0
-63,-66,-20,-79,-73,-72,0
-54,-50,-45,-63,-68,-64,0
-53,-56,-35,-74,-76,-79,0
-55,-52,-14,-71,-69,-82,0
-56,-53,-43,-63,-72,-77,0
-60,-52,-52,-67,-79,-91,1
-57,-59,-44,-65,-76,-77,0
-54,-52,-38,-60,-69,-75,0
-58,-57,-40,-74,-79,-77,0
-56,-47,-50,-58,-77,-84,1
-58,-60,-37,-75,-65,-67,0
-53,-53,-40,-64,-64,-73,0
-54,-55,-40,-61,-79,-73,0
-55,-54,-45,-62,-76,-73,0
-57,-53,-49,-61,-88,-85,1
-54,-55,-49,-67,-80,-74,0
-60,-56,-44,-74,-76,-80,0
-55,-54,-36,-67,-65,-73,0
-53,-54,-43,-70,-77,-75,0
-56,-59,-37,-64,-74,-77,0
-54,-52,-35,-68,-71,-76,0
-62,-57,-36,-61,-71,-71,0
-59,-57,-39,-67,-81,-74,0
-56,-53,-44,-69,-77,-79,0
-54,-59,-41,-60,-76,-74,0
